Transaction ID,Product ID,Customer ID,Status,Created At,Campaign,SKU,Price,QTY,Discount,Shipping Cost,Total Revenue,Category Name,Payment Method
ID-461,726415,84749,,2023-10-10,Campaign 10/10,APPNET59E7A8CCDE9A5,5.99E+06,1,5.99E+05,0,"5,391,000",Appliances,Instant Payment
ID-1878,733356,85384,,2023-10-10,Campaign 10/10,MEFOXF5A5351278999F-L,3.99E+06,1,0.00E+00,0,"3,990,000",Men's Fashion,COD
ID-1034,729604,42851,,2023-10-10,Campaign 10/10,HASQAR5A53697E3A84A,4.40E+05,2,4.40E+04,0,"836,000",Health & Sports,Instant Payment
ID-1844,733590,28651,,2023-10-10,Campaign 10/10,MEFSIK59CA6921D46E5-XL,3.99E+06,1,0.00E+00,0,"3,990,000",Men's Fashion,COD
ID-3229,741414,86994,,2023-10-10,Campaign 10/10,SOGMDF5A09BC0EEF973,4.32E+06,1,0.00E+00,0,"4,320,000",Soghaat,COD
ID-1638,732135,85563,,2023-10-10,Campaign 10/10,MEFWIN59C38B52A9E8E,8.99E+06,1,0.00E+00,0,"8,990,000",Men's Fashion,COD
ID-1234,730582,48608,,2023-10-10,Campaign 10/10,MEFOXF5A53506E21D20-L,3.99E+06,1,0.00E+00,0,"3,990,000",Men's Fashion,Virtual Account
ID-324,726298,84739,,2023-10-10,Campaign 10/10,HALSHA59F1E1E99BD6E,2.99E+06,1,0.00E+00,0,"2,990,000",Home & Living,COD
ID-3226,741384,86990,,2023-10-10,Campaign 10/10,HASDUN5A7036A333A09,4.32E+06,2,4.32E+05,0,"8,208,000",Health & Sports,COD
ID-2311,734854,62696,,2023-10-10,Campaign 10/10,BAGDOV5A099F4EF3FFA,3.70E+06,2,3.70E+05,0,"7,030,000",Beauty & Grooming,Instant Payment
ID-1967,734160,66338,,2023-10-10,Campaign 10/10,APPCLI5A1EA37F05EF5,2.99E+06,1,2.99E+05,0,"2,691,000",Appliances,Instant Payment
ID-2113,734769,86018,,2023-10-10,Campaign 10/10,BAGCHA5A267DAFEAC32,2.00E+06,1,0.00E+00,0,"2,000,000",Beauty & Grooming,Virtual Account
ID-3240,741657,87036,,2023-10-10,Campaign 10/10,MEFKAR5A7C1393107CA-S,7.40E+06,1,0.00E+00,0,"7,400,000",Men's Fashion,COD
ID-1789,733284,2142,,2023-10-10,Campaign 10/10,APPNAT5A018FEDA562F,6.99E+06,1,0.00E+00,0,"6,990,000",Appliances,Credit Card
ID-2735,738765,3815,,2023-10-10,Campaign 10/10,SOGMAY5A2F7FD4BFF8A,2.30E+06,1,0.00E+00,0,"2,300,000",Soghaat,COD
ID-816,729126,59728,,2023-10-10,Campaign 10/10,AHM59C0C59B9C886,4.90E+05,1,0.00E+00,0,"490,000",Superstore,Transfer Bank
ID-816,729126,59728,,2023-10-10,Campaign 10/10,AHM59C0C59B9C886,4.90E+05,1,0.00E+00,0,"490,000",Superstore,Transfer Bank
ID-2769,738770,86475,,2023-10-10,Campaign 10/10,APPZEE5A3BAA0DCBFCA,8.99E+06,1,0.00E+00,0,"8,990,000",Appliances,COD
ID-818,729238,61531,,2023-10-10,Campaign 10/10,SOGAMB5A2E67122360F,9.00E+05,2,9.00E+04,0,"1,710,000",Soghaat,COD
ID-171,725743,27689,,2023-10-10,Campaign 10/10,BAGCOS5A45E96A5D5D6,3.05E+06,1,0.00E+00,0,"3,050,000",Beauty & Grooming,COD
ID-2966,739798,86703,,2023-10-10,Campaign 10/10,BAGNYX5A65894E11065,8.08E+06,1,0.00E+00,0,"8,080,000",Beauty & Grooming,COD
ID-787,728908,85073,,2023-10-10,Campaign 10/10,MEFDEA59F1EE5D40CD0-M,6.99E+06,1,0.00E+00,0,"6,990,000",Men's Fashion,COD
ID-862,729115,85109,,2023-10-10,Campaign 10/10,BAGBOU59EF25BB0EDF7,4.71E+06,1,0.00E+00,0,"4,710,000",Beauty & Grooming,COD
ID-2333,735195,63074,,2023-10-10,Campaign 10/10,CLO59F6F89956882,1.15E+06,2,1.15E+05,0,"2,185,000",Superstore,Virtual Account
ID-2813,738979,86518,,2023-10-10,Campaign 10/10,SOGAMB5A09BA23BEF8A,1.60E+06,1,1.60E+05,0,"1,440,000",Soghaat,COD
ID-2579,737661,79880,,2023-10-10,Campaign 10/10,KABPAM59F820D649683,,1,0.00E+00,0,"3,320,000",Kids & Baby,COD
ID-2593,737423,85421,,2023-10-10,Campaign 10/10,BAGNYC59EE28CA7973B,8.59E+06,1,0.00E+00,0,"8,590,000",Beauty & Grooming,COD
ID-880,729495,3500,,2023-10-10,Campaign 10/10,BAGELM5A094F3D86965,1.40E+06,1,0.00E+00,0,"1,400,000",Beauty & Grooming,COD
ID-1885,733307,85743,,2023-10-10,Campaign 10/10,SOGMAY5A09B5EAA3FB2,1.95E+06,1,0.00E+00,0,"1,950,000",Soghaat,COD
ID-1615,732169,62021,,2023-10-10,Campaign 10/10,SOGAMB5A2E671651624,1.60E+06,1,0.00E+00,0,"1,600,000",Soghaat,COD
